COD_INSTALACAO;SERVICO;DT_CRIACAO
1558225;Religação;01/07/2024
1400099958;Religação;01/07/2024
1400069400;Religação;01/07/2024
14581629;Religação;01/07/2024
1400733821;Religação;01/07/2024
1400043286;Religação;01/07/2024
6180547;Religação;01/07/2024
6038420;Religação;01/07/2024
1400549308;Religação;01/07/2024
709371376;Religação;01/07/2024
11764450;Religação;01/07/2024
2246640;Religação;01/07/2024
7308975;Religação;01/07/2024
708771883;Religação;01/07/2024
7236331;Religação;01/07/2024
1400334972;Religação;01/07/2024
2492183;Religação;01/07/2024
14223599;Religação;01/07/2024
1400612778;Religação;01/07/2024
707530124;Religação;01/07/2024
1400204872;Religação;01/07/2024
1400334972;Religação;01/07/2024
7342099;Religação;01/07/2024
1401277785;Religação;01/07/2024
365274;Religação;01/07/2024
1400717651;Religação;01/07/2024
12603032;Religação;01/07/2024
707059849;Religação;01/07/2024
6180547;Religação;01/07/2024
1083447954;Religação;04/07/2023
1401007307;Religação;04/07/2023
732631622;Religação;04/07/2023
730589038;Religação;04/07/2023
1082341179;Religação;04/07/2023
1401231560;Religação;04/07/2023
1078636900;Religação;04/07/2023
1080004502;Religação;04/07/2023
1400858429;Religação;04/07/2023
5249781;Religação;04/07/2023
1400476761;Religação;05/07/2023
732089642;Religação;04/07/2023
1401105496;Religação;04/07/2023
1060857175;Religação;04/07/2023
4500111;Religação;04/07/2023
1082028282;Religação;03/07/2023
3747199;Religação;03/07/2023
3546628;Religação;03/07/2023
733020916;Religação;04/07/2023
1068551271;Religação;03/07/2023
1082356356;Religação;04/08/2023
1078733520;Religação;04/08/2023
708173349;Religação;04/08/2023
1078812361;Religação;04/08/2023
732895372;Religação;04/08/2023
1079840648;Religação;04/08/2023
708497199;Religação;04/08/2023
1400715174;Religação;04/08/2023
709626683;Religação;04/08/2023
1081994219;Religação;04/08/2023
6254235;Religação;01/01/2024
707559252;Religação;02/01/2024
1400486768;Religação;02/01/2024
14878980;Religação;02/01/2024
1068559626;Religação;02/01/2024
1081849718;Religação;02/01/2024
1400590179;Religação;02/01/2024
3314992;Religação;02/01/2024
1083451725;Religação;02/01/2024
1079817736;Religação;02/01/2024
725973506;Religação;03/07/2024
1400882800;Religação;03/07/2024
2829180;Religação;04/07/2024
733045063;Religação;03/07/2024
732123471;Religação;03/07/2024
1060827430;Religação;03/07/2024
733204066;Religação;03/07/2024
1400603440;Religação;03/07/2024
8720158;Religação;03/07/2024
5674165;Religação;03/07/2024
1083466764;Religação;03/07/2024
3296603;Religação;03/07/2024
1400642030;Religação;03/07/2024
707556494;Religação;04/07/2024
1400689909;Religação;03/07/2024
6077232;Religação;04/07/2023
711272542;Religação;04/07/2023
3492754;Religação;04/07/2023
732867705;Religação;04/07/2023
9312456;Religação;03/07/2023
1400863048;Religação;02/07/2023
730578027;Religação;03/07/2023
708134029;Religação;03/07/2023
1400613155;Religação;03/07/2023
1401177847;Religação;03/07/2023
4641176;Religação;03/07/2023
6061377;Religação;03/07/2023
1400725762;Religação;03/07/2023
1400846576;Religação;03/07/2023
14099915;Religação;03/07/2023
1401296351;Parcel. Débitos;08/01/2024
1060793774;Débito em Aberto;08/01/2024
6448560;Débito em Aberto;08/01/2024
1079029065;2ª Via de Conta;08/01/2024
1401149299;Débito em Aberto;08/01/2024
1400014834;2ª Via de Conta;07/01/2024
1401136704;Débito em Aberto;08/01/2024
1400085391;Débito em Aberto;08/01/2024
1401036328;Débito em Aberto;08/01/2024
1083342436;Débito em Aberto;07/01/2024
4770574;Parcel. Débitos;08/01/2024
3549713;Data de Leitura;08/01/2024
1400921705;2ª Via de Conta;08/01/2024
1401023496;Débito em Aberto;08/01/2024
9110507;Débito em Aberto;08/01/2024
1400378652;Débito em Aberto;07/01/2024
1078675340;Débito em Aberto;05/01/2024
707199061;Débito em Aberto;05/01/2024
1400519084;Ligação Nova;05/01/2024
708475569;Débito em Aberto;05/01/2024
13031007;Débito em Aberto;05/01/2024
1079999442;Débito em Aberto;05/01/2024
1400936271;2ª Via de Conta;05/01/2024
1400335323;Reclam. Ouvidoria;05/01/2024
12120748;Ligação Prov.;05/01/2024
1078943244;Débito em Aberto;05/01/2024
1802308;Débito em Aberto;05/01/2024
1400674158;Débito em Aberto;05/01/2024
12158027;Débito em Aberto;05/01/2024
708484765;Débito em Aberto;05/01/2024
1400931463;2ª Via de Conta;07/01/2024
1149819;Débito em Aberto;06/01/2024
707056221;Débito em Aberto;05/01/2024
650686;Conta e-mail Outros;02/01/2024
1400332519;Parcel. Débitos;06/01/2024
6051931;Débito em Aberto;06/01/2024
1400445762;Parcel. Débitos;06/01/2024
1400313961;Ligação Prov.;06/01/2024
3257779;2ª Via de Conta;06/01/2024
1313636;2ª Via de Conta;06/01/2024
1079170675;Débito em Aberto;06/01/2024
1400374597;Débito em Aberto;06/01/2024
4621314;Débito em Aberto;06/01/2024
1400678504;Débito em Aberto;06/01/2024
1081752832;Docs. Inspeção Ren 1000;06/01/2024
1401179209;Débito em Aberto;06/01/2024
1083437622;2ª Via de Conta;06/01/2024
1400898840;Débito em Aberto;06/01/2024
708353339;Débito em Aberto;06/01/2024
1079976541;Débito em Aberto;06/01/2024
11641430;Falta de Energia;06/01/2024
1083400765;2ª Via de Conta;06/01/2024
1629872;Débito em Aberto;06/01/2024
1400802323;Débito em Aberto;06/01/2024
1401132383;Débito em Aberto;06/01/2024
1083524645;Débito em Aberto;06/01/2024
1400716519;Parcel. Débitos;06/01/2024
6752061;Parcel. Débitos;06/01/2024
733112225;Parcel. Débitos;10/01/2024
1400154775;Débito em Aberto;10/01/2024
3873970;Débito em Aberto;04/01/2024
1078592866;Débito em Aberto;04/01/2024
1075905240;Parcel. Débitos;04/01/2024
1083421137;Débito em Aberto;04/01/2024
1082647039;Débito em Aberto;04/01/2024
1078621079;Débito em Aberto;04/01/2024
3904047;Débito em Aberto;03/01/2024
1079774070;Débito em Aberto;03/01/2024
708906762;Débito em Aberto;03/01/2024
12877496;Probl. na Rede - Outros;03/01/2024
1400405141;2ª Via de Conta;03/01/2024
1080009502;Débito em Aberto;03/01/2024
1078901907;Débito em Aberto;05/01/2024
11412364;2ª Via de Conta;04/01/2024
4295798;2ª Via de Conta;04/01/2024
1400686790;2ª Via de Conta;04/01/2024
1082595567;2ª Via de Conta;04/01/2024
1401242814;Débito em Aberto;04/01/2024
8065381;Débito em Aberto;05/01/2024
12495401;2ª Via de Conta;05/01/2024
5726030;Débito em Aberto;04/01/2024
289123;2ª Via de Conta;04/01/2024
1400737340;Débito em Aberto;05/01/2024
1400401175;2ª Via de Conta;04/01/2024
5566737;2ª Via de Conta;02/01/2024
14692642;2ª Via de Conta;02/01/2024
1400178990;2ª Via de Conta;02/01/2024
710805530;Débito em Aberto;02/01/2024
1400868009;Débito em Aberto;02/01/2024
1400585536;2ª Via de Conta;02/01/2024
4330751;Alt. Cadastral;02/01/2024
1082650620;Cancel._Repr. de NS;02/01/2024
1400556691;ATC;02/01/2024
700979626;Débito em Aberto;03/01/2024
1401161382;Débito em Aberto;02/01/2024
1078910174;Débito em Aberto;02/01/2024
12223209;Débito em Aberto;02/01/2024
1068565297;Data de Leitura;02/01/2024
1078879849;2ª Via de Conta;02/01/2024
7801200;Falta de Energia;02/01/2024
